"SD_DEPT_ID"	"SYS_CREATE_DATE"	"SYS_CREATE_BY"	"SYS_ENABLE_FLAG"	"SYS_KEYWORDS"	"SYS_SORT_NUM"	"SYS_UPDATE_DATE"	"SYS_UPDATE_BY"	"SD_BUSINESS_RELATED_FLAG"	"SD_DEPT_CODE"	"SD_DEPT_NAME"	"SD_DESCRIPTION"	"SD_LEADER_NAME_TO_POST"	"SD_LEADER_NAME_TO_USER"	"SD_PARENT_DEPT_NAME"	"SD_PARENT_LEADER_NAME_TO_POST"	"SD_PARENT_LEADER_NAME_TO_USER"	"SD_PORTAL_NAME"	"SD_PORTAL_URL"	"SD_PARENT_DEPT_ID"	"SD_LEADER_ID_TO_POST"	"SD_PARENT_LEADER_ID_TO_POST"	"SD_LEADER_ID_TO_USER"	"SD_PARENT_LEADER_ID_TO_USER"	"OA_DEPT_ID"
"4028809b3c6fbaa7013c6fbc39510029"		""		""	88		""		"0201"	"合江亭区"	""	""	""	"【城中区】"	""	""	""	""	"4028809b3c6fbaa7013c6fbc3951000f"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3951002a"		""		""	90		""		"020102"	"天仙桥2"	""	""	""	"合江亭区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39510029"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3951002b"		""		""	93		""		"020106"	"天仙桥北2"	""	""	""	"合江亭区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39510029"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3951002c"		""		""	92		""		"020105"	"天仙桥北1"	""	""	""	"合江亭区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39510029"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3951002d"		""		""	89		""		"020101"	"天仙桥1"	""	""	""	"合江亭区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39510029"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3951002e"		""		""	91		""		"020103"	"天仙桥3"	""	""	""	"合江亭区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39510029"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3951002f"		""		""	96		""		"020111"	"蓉上坊1"	""	""	""	"合江亭区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39510029"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc39510030"		""		""	5514		""		"020107"	"天仙桥北3"	""	""	""	"合江亭区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39510029"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc39510031"		""		""	97		""		"020112"	"蓉上坊2"	""	""	""	"合江亭区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39510029"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc39510032"		""		""	98		""		"020113"	"蓉上坊3"	""	""	""	"合江亭区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39510029"	""	""	""	""	
